RD,DATE,TIME,UCR DODE,OFFENSE,Motivation,CPD Area,DIST,BEAT,Community,Victims,Arrested,Adults,Juveniles,Disposition
JB249947,5/4/2018 0:00,1300,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-OTHER CHRISTIAN,Central,10,1034,LOWER WEST SIDE,1,0,,,BONA FIDE
JB251610,5/5/2018 0:00,1922,430,BATTERY: AGGRAVATED: OTHER DANG WEAPON, ANTI-BLACK/AFRICAN-AMERICAN,Central,12,1215,WEST TOWN,1,0,,,BONA FIDE
JB253912,5/1/2018 0:00,1340,460,BATTERY: SIMPLE, ANTI-ASIAN,North,19,1923,UPTOWN,1,0,,,BONA FIDE
JB256876,4/17/2018 0:00,1525,558,ASSAULT: AGG PRO.EMP: OTHER DANG WEAPON, ANTI-BLACK/AFRICAN-AMERICAN,South,22,2212,BEVERLY,1,0,,,BONA FIDE
JB260721,5/12/2018 0:00,1201,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-BLACK/AFRICAN-AMERICAN,Central,18,1833,NEAR NORTH SIDE,1,0,,,BONA FIDE
JB268813,5/18/2018 0:00,1410,460,BATTERY: SIMPLE, ANTI-GAY (MALE),Central,8,825,CHICAGO LAWN,1,0,,,BONA FIDE
JB276596,5/24/2018 0:00,1220,430,BATTERY: AGGRAVATED: OTHER DANG WEAPON, ANTI-GAY (MALE),Central,2,212,DOUGLAS,1,2,,2,BONA FIDE
JB277830,5/25/2018 0:00,2230,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-WHITE,Central,9,913,BRIDGEPORT,1,0,,,BONA FIDE
JB280981,5/27/2018 0:00,1250,460,BATTERY: SIMPLE, ANTI-GAY (MALE),North,20,2023,OHARE,1,0,,,UNFOUNDED
JB282891,5/28/2018 0:00,2238,460,BATTERY: SIMPLE, ANTI-GAY (MALE),Central,8,831,CHICAGO LAWN,1,0,,,UNFOUNDED
JB283526,5/25/2018 0:00,2000,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,Central,18,1824,NEAR NORTH SIDE,1,0,,,BONA FIDE
JB288397,6/1/2018 0:00,1300,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,Central,2,222,KENWOOD,2,1,1,,BONA FIDE
JB290406,6/2/2018 0:00,2115,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-BLACK/AFRICAN-AMERICAN,Central,18,1831,NEAR NORTH SIDE,1,0,,,BONA FIDE
JB293648,6/5/2018 0:00,833,460,BATTERY: SIMPLE, ANTI-WHITE,North,19,1933,LAKE VIEW,1,0,,,BONA FIDE
JB304685,6/13/2018 0:00,509,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-TRANSGENDER,Central,1,133,DOUGLAS,1,0,,,BONA FIDE
JB307585,6/15/2018 0:00,720,460,BATTERY: SIMPLE, ANTI-JEWISH,North,24,2411,WEST RIDGE,1,0,,,BONA FIDE
JB310561,6/16/2018 0:00,1900,1345,CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY, ANTI-JEWISH,North,17,1731,IRVING PARK,1,0,,,BONA FIDE
JB311762,6/15/2018 0:00,2119,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,North,19,1935,LINCOLN PARK,1,0,,,BONA FIDE
JB319299,6/23/2018 0:00,1330,5003,OTHER OFFENSE: OTHER ARSON/EXPLOSIVE INCIDENT, ANTI-WHITE,North,16,1654,OHARE,1,0,,,BONA FIDE
JB319880,6/23/2018 0:00,496,496,BATTERY: AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST, ANTI-ISLAMIC/MUSLIM,North,24,2432,ROGERS PARK,2,2,2,,BONA FIDE
JB321467,6/25/2018 0:00,650,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,South,4,434,SOUTH DEERING,1,0,,,BONA FIDE
JB333026,7/3/2018 0:00,560,560,ASSAULT: SIMPLE, ANTI-ARAB,Central,9,932,NEW CITY,1,0,,,BONA FIDE
JB335724,7/4/2018 0:00,2300,1535,OBSCENITY: OBSCENITY, ANTI-GAY (MALE),Central,9,935,FULLER PARK,1,0,,,BONA FIDE
JB337194,7/4/2018 0:00,1300,5000,OTHER OFFENSE: OTHER CRIME AGAINST PERSON, ANTI-ASIAN,Central,10,1024,SOUTH LAWNDALE,1,0,,,BONA FIDE
JB338215,7/5/2018 0:00,560,560,ASSAULT: SIMPLE, ANTI-TRANSGENDER,South,6,621,CHATHAM,1,0,,,BONA FIDE
JB357478,7/19/2018 0:00,1305,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,Central,2,234,HYDE PARK,1,0,,,BONA FIDE
JB360110,7/22/2018 0:00,460,460,BATTERY: SIMPLE, ANTI-HISPANIC/LATINO,North,16,550,PORTAGE PARK,2,1,1,,BONA FIDE
JB374662,8/1/2018 0:00,1526,460,BATTERY: SIMPLE, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),Central,10,1033,SOUTH LAWNDALE,1,1,1,,BONA FIDE
JB385113,8/8/2018 0:00,1610,1780,OFFENSE INVOLVING CHILDREN: OTHER OFFENSE, ANTI-JEWISH,North,24,2411,WEST RIDGE,1,0,,,BONA FIDE
JB390690,8/12/2018 0:00,1942,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,Central,12,1235,LOWER WEST SIDE,1,1,1,,BONA FIDE
JB391975,8/12/2018 0:00,2300,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,North,14,1424,WEST TOWN,1,0,,,BONA FIDE
JB395513,8/16/2018 0:00,630,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,Central,1,111,LOOP,1,1,1,,BONA FIDE
JB401366,8/19/2018 0:00,125,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-CATHOLIC,Central,18,1822,NEAR NORTH SIDE,1,0,,,BONA FIDE
JB411171,8/27/2018 0:00,1715,560,ASSAULT: SIMPLE, ANTI-HISPANIC/LATINO,South,4,414,SOUTH SHORE,1,1,1,,BONA FIDE
JB414875,8/30/2018 0:00,1110,110,HOMICIDE: FIRST DEGREE MURDER, ANTI-TRANSGENDER,Central,2,213,GRAND BOULEVARD,1,1,,1,BONA FIDE
JB415758,8/30/2018 0:00,1849,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-GAY (MALE),North,17,1731,PORTAGE PARK,1,0,,,BONA FIDE
JB424785,9/6/2018 0:00,1420,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,19,1935,LINCOLN PARK,1,1,1,,BONA FIDE
JB424905,9/6/2018 0:00,1540,320,ROBBERY: STRONGARM - NO WEAPON, ANTI-BLACK/AFRICAN-AMERICAN,North,19,1911,LINCOLN SQUARE,1,0,,,BONA FIDE
JB433678,9/13/2018 0:00,145,560,ASSAULT: SIMPLE, ANTI-HISPANIC/LATINO,South,7,733,ENGLEWOOD,1,0,,,BONA FIDE
JB436282,9/15/2018 0:00,850,460,BATTERY: SIMPLE, ANTI-JEWISH,North,24,2432,ROGERS PARK,1,1,1,,BONA FIDE
JB439030,9/14/2018 0:00,1800,5001,OTHER OFFENSE: OTHER CRIME INVOLVING PROPERTY, ANTI-BLACK/AFRICAN-AMERICAN,North,16,1611,EDISON PARK,1,0,,,BONA FIDE
JB450137,9/25/2018 0:00,1130,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,24,2433,EDGEWATER,2,1,1,,BONA FIDE
JB451454,9/26/2018 0:00,953,3960,INTIMIDATION: INTIMIDATION, ANTI-ISLAMIC/MUSLIM,Central,2,222,KENWOOD,1,0,,,BONA FIDE
JB452299,9/26/2018 0:00,2000,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-GAY (MALE),North,11,1124,EAST GARFIELD PARK,1,1,1,,BONA FIDE
JB461846,10/4/2018 0:00,325,460,BATTERY: SIMPLE, ANTI-GAY (MALE),South,6,621,AUBURN GRESHAM,1,1,1,,BONA FIDE
JB466719,10/8/2018 0:00,229,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,20,2012,EDGEWATER,1,3,3,,BONA FIDE
JB474092,10/12/2018 0:00,1630,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-WHITE,Central,1,114,LOOP,1,0,,,BONA FIDE
JB477576,10/15/2018 0:00,2130,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-BLACK/AFRICAN-AMERICAN,North,11,1121,HUMBOLDT PARK,1,0,,,BONA FIDE
JB484791,10/21/2018 0:00,1630,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,South,4,432,EAST SIDE,1,0,,,BONA FIDE
JB486831,10/19/2018 0:00,200,560,ASSAULT: SIMPLE, ANTI-GAY (MALE),Central,2,235,HYDE PARK,1,0,,,BONA FIDE
JB500824,11/2/2018 0:00,1524,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-JEWISH,North,19,1915,UPTOWN,1,1,1,,BONA FIDE
JB500826,11/2/2018 0:00,1524,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-JEWISH,North,19,1915,UPTOWN,1,1,1,,BONA FIDE
JB501662,11/3/2018 0:00,928,1345,CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY, ANTI-JEWISH,North,19,1915,UPTOWN,1,1,1,,BONA FIDE
JB505502,11/6/2018 0:00,530,312,ROBBERY: ARMED:KNIFE/CUTTING INSTRUMENT, ANTI-GAY (MALE),North,20,2022,EDGEWATER,1,0,,,BONA FIDE
JB507330,11/7/2018 0:00,1300,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-JEWISH,North,19,1915,UPTOWN,1,1,1,,BONA FIDE
JB509661,11/5/2018 0:00,1235,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,Central,18,1811,LINCOLN PARK,1,0,,,BONA FIDE
JB518198,11/11/2018 0:00,1030,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,Central,8,823,WEST LAWN,1,0,,,BONA FIDE
JB522717,11/18/2018 0:00,2002,5081,NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY, ANTI-JEWISH,Central,1,123,LOOP,1,0,,,BONA FIDE
JB523584,11/20/2018 0:00,2025,530,ASSAULT: AGGRAVATED: OTHER DANG WEAPON, ANTI-WHITE,Central,18,1834,NEAR NORTH SIDE,1,1,1,,BONA FIDE
JB538200,11/29/2018 0:00,1731,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-ISLAMIC/MUSLIM,North,16,1632,DUNNING,1,0,,,BONA FIDE
JB544964,12/8/2018 0:00,1104,5000,OTHER OFFENSE: OTHER CRIME AGAINST PERSON, ANTI-JEWISH,North,16,1611,NORWOOD PARK,1,0,,,BONA FIDE
JB550306,12/12/2018 0:00,230,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-HISPANIC/LATINO,North,14,1411,LOGAN SQUARE,1,0,,,BONA FIDE
JB552596,12/14/2018 0:00,736,2850,PUBLIC PEACE VIOLATION: BOMB THREAT, ANTI-JEWISH,Central,1,112,LOOP,1,0,,,BONA FIDE
JB553803,12/14/2018 0:00,1655,560,ASSAULT: SIMPLE, ANTI-WHITE,North,16,1624,PORTAGE PARK,1,0,,,BONA FIDE
JC102583,1/3/2019 0:00,400,420,BATTERY: AGGRAVATED:KNIFE/CUTTING INSTR, ANTI-TRANSGENDER,North,15,1522,AUSTIN,1,0,,,BONA FIDE
JC111544,1/10/2019 0:00,1012,460,BATTERY: SIMPLE, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),Central,9,921,BRIGHTON PARK,2,0,,,BONA FIDE
JC114135,1/12/2019 0:00,1213,430,BATTERY: AGGRAVATED: OTHER DANG WEAPON, ANTI-BLACK/AFRICAN-AMERICAN,Central,9,924,NEW CITY,1,0,,,BONA FIDE
JC125614,1/22/2019 0:00,1430,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,Central,10,1023,NORTH LAWNDALE,1,1,1,,UNFOUNDED
JC128049,1/21/2019 0:00,150,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),Central,1,131,LOOP,1,0,,,BONA FIDE
JC133190,1/29/2019 0:00,200,440,BATTERY: AGG: HANDS/FIST/FEET NO/MINOR INJURY, ANTI-BLACK/AFRICAN-AMERICAN,Central,18,1834,NEAR NORTH SIDE,1,1,1,,UNFOUNDED
JC136628,2/1/2019 0:00,1506,5081,NON-CRIMINAL: OTHER NON-CRIMINAL PROPERTY, ANTI-JEWISH,Central,12,1213,WEST TOWN,6,0,,,BONA FIDE
JC140362,2/4/2019 0:00,1900,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,North,16,1655,OHARE,1,0,,,BONA FIDE
JC157098,1/28/2019 0:00,1200,560,ASSAULT: SIMPLE, ANTI-TRANSGENDER,South,6,632,CHATHAM,1,0,,,BONA FIDE
JC158986,2/18/2019 0:00,700,051A,ASSAULT: AGGRAVATED: HANDGUN, ANTI-HISPANIC/LATINO,Central,9,924,NEW CITY,1,0,,,BONA FIDE
JC162034,2/22/2019 0:00,1528,2825,OTHER OFFENSE: HARASSMENT BY TELEPHONE, ANTI-JEWISH,Central,18,1832,NEAR NORTH SIDE,1,0,,,BONA FIDE
JC162145,2/22/2019 0:00,1528,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-JEWISH,North,24,2413,WEST RIDGE,1,0,,,BONA FIDE
JC163849,2/24/2019 0:00,430,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,Central,12,1215,NEAR WEST SIDE,1,1,1,,BONA FIDE
JC165267,2/25/2019 0:00,1408,430,BATTERY: AGGRAVATED: OTHER DANG WEAPON, ANTI-GAY (MALE),Central,9,935,NEW CITY,1,0,,,BONA FIDE
JC166424,2/25/2019 0:00,1230,2825,OTHER OFFENSE: HARASSMENT BY TELEPHONE, ANTI-JEWISH,North,24,2413,WEST RIDGE,1,0,,,BONA FIDE
JC167593,2/27/2019 0:00,1230,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-HISPANIC/LATINO,Central,8,811,GARFIELD RIDGE,1,0,,,BONA FIDE
JC168251,2/16/2019 0:00,1930,460,BATTERY: SIMPLE, ANTI-ASIAN,Central,1,123,LOOP,2,0,,,BONA FIDE
JC168717,2/28/2019 0:00,1107,5080,NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS, ANTI-JEWISH,Central,18,1832,NEAR NORTH SIDE,1,0,,,BONA FIDE
JC168936,2/28/2019 0:00,1424,479,BATTERY: AGG: HANDS/FIST/FEET SERIOUS INJURY, ANTI-WHITE,North,16,1624,PORTAGE PARK,1,3,3,,BONA FIDE
JC182963,3/12/2019 0:00,1530,560,ASSAULT: SIMPLE, ANTI-MULTIPLE RACES/GROUP,North,24,2412,WEST RIDGE,1,0,,,BONA FIDE
JC208592,3/31/2019 0:00,700,320,ROBBERY: STRONGARM - NO WEAPON, ANTI-GAY (MALE),North,25,2532,AUSTIN,1,0,,,BONA FIDE
JC209908,3/29/2019 0:00,2100,1375,CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM, ANTI-ISLAMIC/MUSLIM,North,24,2433,EDGEWATER,1,0,,,BONA FIDE
JC212643,4/5/2019 0:00,1110,2825,OTHER OFFENSE: HARASSMENT BY TELEPHONE, ANTI-JEWISH,North,24,2433,EDGEWATER,1,0,,,BONA FIDE
JC212686,4/5/2019 0:00,1024,2820,OTHER OFFENSE: TELEPHONE THREAT, ANTI-JEWISH,North,19,1925,LAKE VIEW,1,0,,,BONA FIDE
JC218949,4/10/2019 0:00,1214,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-HISPANIC/LATINO,North,11,1112,HUMBOLDT PARK,1,0,,,BONA FIDE
JC227141,4/15/2019 0:00,2201,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-BLACK/AFRICAN-AMERICAN,North,19,1925,LAKE VIEW,1,0,,,BONA FIDE
JC227553,4/17/2019 0:00,630,1320,CRIMINAL DAMAGE: TO VEHICLE, ANTI-BLACK/AFRICAN-AMERICAN,North,17,1711,NORTH PARK,1,0,,,BONA FIDE
JC257201,5/9/2019 0:00,1945,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,North,16,1611,NORWOOD PARK,1,1,1,,BONA FIDE
JC258633,5/11/2019 0:00,805,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-JEWISH,North,16,1622,JEFFERSON PARK,1,0,,,BONA FIDE
JC259256,5/7/2019 0:00,1530,2826,OTHER OFFENSE: HARASSMENT BY ELECTRONIC MEANS, ANTI-BLACK/AFRICAN-AMERICAN,South,22,2212,MORGAN PARK,1,0,,,BONA FIDE
JC263533,5/14/2019 0:00,2300,460,BATTERY: SIMPLE, ANTI-GAY (MALE),South,4,421,SOUTH SHORE,2,0,,,BONA FIDE
JC264979,5/16/2019 0:00,505,051A,ASSAULT: AGGRAVATED: HANDGUN, ANTI-WHITE,North,19,1923,LAKE VIEW,2,0,,,BONA FIDE
JC266018,5/16/2019 0:00,1939,5091,NON-CRIMINAL: DAM REAL PROP:FIRE/EXPLOSION, ANTI-OTHER CHRISTIAN,South,6,632,CHATHAM,1,0,,,BONA FIDE
JC266410,5/17/2019 0:00,700,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,Central,12,1231,NEAR WEST SIDE,1,0,,,BONA FIDE
JC268020,5/18/2019 0:00,319,1320,CRIMINAL DAMAGE: TO VEHICLE, ANTI-JEWISH,North,24,2411,WEST RIDGE,2,0,,,BONA FIDE
JC268024,5/18/2019 0:00,300,1320,CRIMINAL DAMAGE: TO VEHICLE, ANTI-JEWISH,North,24,2411,WEST RIDGE,1,0,,,BONA FIDE
JC268050,5/18/2019 0:00,300,1320,CRIMINAL DAMAGE: TO VEHICLE, ANTI-JEWISH,North,24,2411,WEST RIDGE,1,0,,,BONA FIDE
JC269349,5/19/2019 0:00,900,1090,ARSON: ATTEMPT ARSON, ANTI-JEWISH,North,19,1925,LAKE VIEW,1,0,,,BONA FIDE
JC269903,5/12/2019 0:00,1201,5080,NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS, ANTI-BLACK/AFRICAN-AMERICAN,North,16,1632,DUNNING,1,0,,,BONA FIDE
JC280122,5/26/2019 0:00,2330,460,BATTERY: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,Central,9,913,BRIDGEPORT,2,0,,,BONA FIDE
JC285491,5/29/2019 0:00,2317,5080,NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS, ANTI-JEWISH,North,17,1712,ALBANY PARK,1,0,,,BONA FIDE
JC286983,5/31/2019 0:00,2207,552,ASSAULT: AGGRAVATED PO:KNIFE/CUT INSTR, ANTI-GAY (MALE),North,19,1925,LAKE VIEW,1,0,,,BONA FIDE
JC289366,6/2/2019 0:00,1840,460,BATTERY: SIMPLE, ANTI-HISPANIC/LATINO,North,16,1624,PORTAGE PARK,1,2,,2,BONA FIDE
JC295848,6/7/2019 0:00,800,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-CATHOLIC,North,14,1433,LOGAN SQUARE,1,0,,,BONA FIDE
JC296427,6/7/2019 0:00,216,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-MULTIPLE RACES/GROUP,North,24,2412,WEST RIDGE,1,0,,,BONA FIDE
JC306049,6/14/2019 0:00,1310,560,ASSAULT: SIMPLE, ANTI-TRANSGENDER,North,19,1914,UPTOWN,1,1,1,,BONA FIDE
JC313571,6/19/2019 0:00,1915,560,ASSAULT: SIMPLE, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),North,19,1923,LAKE VIEW,1,0,,,BONA FIDE
JC318810,6/23/2019 0:00,1825,484,BATTERY: PRO EMP HANDS NO/MIN INJURY, ANTI-BLACK/AFRICAN-AMERICAN,South,4,414,SOUTH CHICAGO,1,1,1,,BONA FIDE
JC318824,6/23/2019 0:00,300,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),North,14,1424,WEST TOWN,1,0,,,BONA FIDE
JC320176,6/22/2019 0:00,1,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),North,19,1925,LAKE VIEW,1,0,,,BONA FIDE
JC322221,6/26/2019 0:00,201,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,South,4,431,SOUTH DEERING,1,1,1,,BONA FIDE
JC323996,6/26/2019 0:00,1500,470,PUBLIC PEACE VIOLATION: RECKLESS CONDUCT, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),,61,6100,,,1,1,,BONA FIDE
JC326544,6/28/2019 0:00,2200,460,BATTERY: SIMPLE, ANTI-TRANSGENDER,Central,3,331,SOUTH SHORE,1,0,,,BONA FIDE
JC328536,6/30/2019 0:00,1034,460,BATTERY: SIMPLE, ANTI-GAY (MALE),Central,1,121,NEAR WEST SIDE,1,1,1,,BONA FIDE
JC329394,6/30/2019 0:00,2305,051A,ASSAULT: AGGRAVATED: HANDGUN, ANTI-GAY (MALE),Central,1,114,LOOP,1,0,,,BONA FIDE
JC331259,7/1/2019 0:00,1500,1345,CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY, ANTI-MULTIPLE RACES/GROUP,North,20,2024,UPTOWN,1,0,,,BONA FIDE
JC336883,7/6/2019 0:00,315,337,ROBBERY: ATTEMPT: ARMED-OTHER DANG WEAP, ANTI-WHITE,Central,18,1814,LINCOLN PARK,1,0,,,BONA FIDE
JC345308,7/12/2019 0:00,820,5080,NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS, ANTI-CATHOLIC,Central,1,121,NEAR WEST SIDE,2,0,,,BONA FIDE
JC349892,7/9/2019 0:00,1530,560,ASSAULT: SIMPLE, ANTI-TRANSGENDER,Central,12,1225,NEAR WEST SIDE,1,0,,,BONA FIDE
JC359158,7/22/2019 0:00,445,460,BATTERY: SIMPLE, ANTI-GAY (MALE),Central,1,113,LOOP,2,0,,,BONA FIDE
JC361698,7/23/2019 0:00,1929,460,BATTERY: SIMPLE, ANTI-WHITE,Central,1,122,LOOP,5,1,1,,BONA FIDE
JC361718,7/23/2019 0:00,1909,460,BATTERY: SIMPLE, ANTI-GAY (MALE),South,6,623,CHATHAM,1,4,3,1,BONA FIDE
JC372062,7/31/2019 0:00,330,1320,CRIMINAL DAMAGE: TO VEHICLE, ANTI-GAY (MALE),North,19,1912,LAKE VIEW,1,0,,,BONA FIDE
JC372120,7/31/2019 0:00,756,558,ASSAULT: AGG PRO.EMP: OTHER DANG WEAPON, ANTI-WHITE,South,7,723,ENGLEWOOD,1,1,1,,BONA FIDE
JC372170,7/30/2019 0:00,2030,320,ROBBERY: STRONGARM - NO WEAPON, ANTI-GAY (MALE),South,6,623,GREATER GRAND CROSSING,1,0,,,BONA FIDE
JC374203,8/1/2019 0:00,1931,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-JEWISH,North,14,1424,WEST TOWN,3,0,,,BONA FIDE
JC387482,8/10/2019 0:00,2320,320,ROBBERY: STRONGARM - NO WEAPON, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),Central,1,131,NEAR SOUTH SIDE,5,1,,2,BONA FIDE
JC399111,8/19/2019 0:00,1721,5080,NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS, ANTI-HISPANIC/LATINO,Central,18,1831,NEAR NORTH SIDE,1,0,,,BONA FIDE
JC399454,8/19/2019 0:00,2115,051A,ASSAULT: AGGRAVATED: HANDGUN, ANTI-BLACK/AFRICAN-AMERICAN,North,17,1723,ALBANY PARK,2,0,,,BONA FIDE
JC407135,8/25/2019 0:00,1045,5080,NON-CRIMINAL: OTHER NON-CRIMINAL PERSONS, ANTI-BLACK/AFRICAN-AMERICAN,South,4,432,EAST SIDE,1,0,,,BONA FIDE
JC419593,9/4/2019 0:00,1004,420,BATTERY: AGGRAVATED:KNIFE/CUTTING INSTR, ANTI-HISPANIC/LATINO,South,6,612,AUBURN GRESHAM,1,0,,,BONA FIDE
JC429462,9/11/2019 0:00,2000,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),North,24,2432,ROGERS PARK,2,0,,,BONA FIDE
JC430394,9/12/2019 0:00,1445,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,Central,8,835,ASHBURN,1,0,,,BONA FIDE
JC430433,9/11/2019 0:00,1600,1365,CRIMINAL TRESPASS: TO RESIDENCE, ANTI-ARAB,Central,18,1833,NEAR NORTH SIDE,2,0,,,BONA FIDE
JC432546,9/13/2019 0:00,2340,320,ROBBERY: STRONGARM - NO WEAPON, ANTI-TRANSGENDER NON-CONFORMING,North,14,1412,LOGAN SQUARE,1,0,,,BONA FIDE
JC436061,9/16/2019 0:00,1710,460,BATTERY: SIMPLE, ANTI-GAY (MALE),Central,2,233,WASHINGTON PARK,1,1,1,,BONA FIDE
JC438111,9/17/2019 0:00,2000,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-GAY/LESBIAN/BISEXUAL/TRANSGENDER (MIXED GROUP),North,24,2432,ROGERS PARK,1,0,,,BONA FIDE
JC450690,9/25/2019 0:00,600,460,BATTERY: SIMPLE, ANTI-GAY (MALE),North,19,1915,UPTOWN,1,0,,,BONA FIDE
JC456863,9/25/2019 0:00,1500,560,ASSAULT: SIMPLE, ANTI-ASIAN,Central,1,122,LOOP,1,0,,,BONA FIDE
JC457627,10/2/2019 0:00,1350,430,BATTERY: AGGRAVATED: OTHER DANG WEAPON, ANTI-HISPANIC/LATINO,Central,8,831,CHICAGO LAWN,1,0,,,BONA FIDE
JC464295,10/8/2019 0:00,722,545,ASSAULT: PRO EMP HANDS NO/MIN INJURY, ANTI-BLACK/AFRICAN-AMERICAN,North,20,2023,EDGEWATER,1,0,,,BONA FIDE
JC464360,10/8/2019 0:00,1800,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-JEWISH,North,17,1731,IRVING PARK,2,0,,,BONA FIDE
JC465784,10/9/2019 0:00,910,560,ASSAULT: SIMPLE, ANTI-BLACK/AFRICAN-AMERICAN,North,19,1934,LAKE VIEW,1,1,1,,BONA FIDE
JC468520,10/11/2019 0:00,300,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-GAY (MALE),North,20,2022,EDGEWATER,1,1,1,,BONA FIDE
JC473532,10/15/2019 0:00,1328,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-OTHER RELIGION,Central,10,1034,LOWER WEST SIDE,1,0,,,BONA FIDE
JC482326,10/22/2019 0:00,1025,460,BATTERY: SIMPLE, ANTI-HISPANIC/LATINO,South,4,431,SOUTH DEERING,3,1,1,,BONA FIDE
