RD,DATE,TIME,UCR DODE,OFFENSE,Motivation,CPD Area,DIST,BEAT,Community,Victims,Arrested,Adults,Juveniles,Disposition
HZ391083,8/13/2016 0:00,2340,560,ASSAULT: SIMPLE, ANTI-HISPANIC/LATINO,Central,12,1211,WEST TOWN,1,0,,,UNDETERMINED
HZ426512,9/9/2016 0:00,612,051A,ASSAULT: AGGRAVATED: HANDGUN, ANTI-BLACK/AFRICAN-AMERICAN,Central,10,1033,SOUTH LAWNDALE,1,0,,,UNDETERMINED
HZ447460,9/24/2016 0:00,830,5001,OTHER OFFENSE: OTHER CRIME INVOLVING PROPERTY, ANTI-OTHER ETHNICITY/NATIONAL ORIGIN,North,17,1712,NORTH PARK,1,0,,,BONA FIDE
HZ459529,10/2/2016 0:00,445,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-HISPANIC/LATINO,Central,10,1034,LOWER WEST SIDE,1,1,1,,BONA FIDE
HZ459568,9/30/2016 0:00,1530,545,ASSAULT: PRO EMP HANDS NO/MIN INJURY, ANTI-BLACK/AFRICAN-AMERICAN,Central,3,321,WOODLAWN,1,0,,,BONA FIDE
HZ465269,10/11/2016 0:00,1515,460,BATTERY: SIMPLE, ANTI-GAY (MALE),Central,9,931,NEW CITY,1,0,,,BONA FIDE
HZ476707,10/10/2016 0:00,600,1375,CRIMINAL DAMAGE: INSTITUTIONAL VANDALISM, ANTI-JEWISH,North,17,1712,NORTH PARK,1,0,,,BONA FIDE
HZ477592,10/17/2016 0:00,910,2825,OTHER OFFENSE: HARASSMENT BY TELEPHONE, ANTI-BLACK/AFRICAN-AMERICAN,South,7,731,GREATER GRAND CROSSING,1,0,,,BONA FIDE
HZ477678,10/16/2016 0:00,1800,1310,CRIMINAL DAMAGE: TO PROPERTY, ANTI-JEWISH,North,14,1433,WEST TOWN,1,0,,,BONA FIDE
HZ478965,10/12/2016 0:00,1200,560,ASSAULT: SIMPLE, ANTI-GAY (MALE),South,4,424,SOUTH CHICAGO,1,0,,,UNDETERMINED
HZ483790,10/21/2016 0:00,1850,460,BATTERY: SIMPLE, ANTI-ASIAN,Central,1,113,LOOP,1,0,,,UNDETERMINED
HZ486785,10/21/2016 0:00,1600,1345,CRIMINAL DAMAGE: TO CITY OF CHICAGO PROPERTY, ANTI-MULTIPLE RACES/GROUP,South,22,2211,MOUNT GREENWOOD,1,0,,,BONA FIDE
HZ487990,10/22/2016 0:00,1600,1305,CRIMINAL DAMAGE: CRIMINAL DEFACEMENT, ANTI-WHITE,North,14,1414,LOGAN SQUARE,1,0,,,UNDETERMINED
